id_municipio,nome,id_microrregiao
110033,Nova Mamoré,11001
110080,Candeias do Jamari,11001
110020,Porto Velho,11001
110110,Itapuã do Oeste,11001
110094,Cujubim,11001
110070,Campo Novo de Rondônia,11001
110045,Buritis,11001
110010,Guajará-Mirim,11002
110008,Costa Marques,11002
110149,São Francisco do Guaporé,11002
110040,Alto Paraíso,11003
110002,Ariquemes,11003
110026,Rio Crespo,11003
110060,Cacaulândia,11003
110140,Monte Negro,11003
110175,Vale do Anari,11003
110013,Machadinho D'Oeste,11003
110160,Theobroma,11004
110011,Jaru,11004
110100,Governador Jorge Teixeira,11004
110180,Vale do Paraíso,11004
110015,Ouro Preto do Oeste,11004
110170,Urupá,11004
110012,Ji-Paraná,11004
110025,Presidente Médici,11004
110155,Teixeirópolis,11004
110130,Mirante da Serra,11004
110143,Nova União,11004
110150,Seringueiras,11005
110034,Alvorada D'Oeste,11005
110032,São Miguel do Guaporé,11005
110014,Nova Brasilândia D'Oeste,11005
110037,Alto Alegre dos Parecis,11006
110090,Castanheiras,11006
110120,Ministro Andreazza,11006
110009,Espigão D'Oeste,11006
110050,Novo Horizonte do Oeste,11006
110004,Cacoal,11006
110001,Alta Floresta D'Oeste,11006
110029,Santa Luzia D'Oeste,11006
110028,Rolim de Moura,11006
110145,Parecis,11007
110147,Primavera de Rondônia,11007
110148,São Felipe D'Oeste,11007
110018,Pimenta Bueno,11007
110092,Chupinguaia,11007
110030,Vilhena,11007
110005,Cerejeiras,11008
110003,Cabixi,11008
110007,Corumbiara,11008
110146,Pimenteiras do Oeste,11008
110006,Colorado do Oeste,11008
120020,Cruzeiro do Sul,12001
120042,Rodrigues Alves,12001
120039,Porto Walter,12001
120033,Mâncio Lima,12001
120035,Marechal Thaumaturgo,12001
120060,Tarauacá,12002
120030,Feijó,12002
120032,Jordão,12002
120043,Santa Rosa do Purus,12003
120050,Sena Madureira,12003
120034,Manoel Urbano,12003
120001,Acrelândia,12004
120038,Plácido de Castro,12004
120045,Senador Guiomard,12004
120080,Porto Acre,12004
120013,Bujari,12004
120017,Capixaba,12004
120040,Rio Branco,12004
120025,Epitaciolândia,12005
120070,Xapuri,12005
120005,Assis Brasil,12005
120010,Brasiléia,12005
130360,Santa Isabel do Rio Negro,13001
130040,Barcelos,13001
130380,São Gabriel da Cachoeira,13001
130320,Novo Airão,13001
130280,Maraã,13002
130210,Japurá,13002
130230,Jutaí,13003
130160,Fonte Boa,13003
130423,Tonantins,13003
130020,Atalaia do Norte,13003
130006,Amaturá,13003
130060,Benjamin Constant,13003
130370,Santo Antônio do Içá,13003
130390,São Paulo de Olivença,13003
130406,Tabatinga,13003
130220,Juruá,13004
130100,Carauari,13004
130150,Envira,13004
130140,Eirunepé,13004
130165,Guajará,13004
130195,Itamarati,13004
130180,Ipixuna,13004
130002,Alvarães,13005
130420,Tefé,13005
130426,Uarini,13005
130130,Codajás,13006
130010,Anori,13006
130063,Beruri,13006
130120,Coari,13006
130008,Anamã,13006
130083,Caapiranga,13006
130255,Manaquiri,13007
130030,Autazes,13007
130110,Careiro,13007
130115,Careiro da Várzea,13007
130185,Iranduba,13007
130260,Manaus,13007
130250,Manacapuru,13007
130353,Presidente Figueiredo,13008
130356,Rio Preto da Eva,13008
130310,Nova Olinda do Norte,13009
130400,Silves,13009
130190,Itacoatiara,13009
130440,Urucurituba,13009
130200,Itapiranga,13009
130068,Boa Vista do Ramos,13010
130290,Maués,13010
130300,Nhamundá,13010
130050,Barreirinha,13010
130340,Parintins,13010
130395,São Sebastião do Uatumã,13010
130430,Urucará,13010
130350,Pauini,13011
130070,Boca do Acre,13011
130240,Lábrea,13012
130090,Canutama,13012
130410,Tapauá,13012
130080,Borba,13013
130270,Manicoré,13013
130170,Humaitá,13013
130330,Novo Aripuanã,13013
130014,Apuí,13013
140005,Alto Alegre,14001
140010,Boa Vista,14001
140002,Amajari,14001
140045,Pacaraima,14001
140015,Bonfim,14002
140017,Cantá,14002
140040,Normandia,14002
140070,Uiramutã,14002
140030,Mucajaí,14003
140028,Iracema,14003
140020,Caracaraí,14003
140050,São João da Baliza,14004
140047,Rorainópolis,14004
140060,São Luiz,14004
140023,Caroebe,14004
150510,Óbidos,15001
150390,Juruti,15001
150530,Oriximiná,15001
150300,Faro,15001
150797,Terra Santa,15001
150145,Belterra,15002
150680,Santarém,15002
150480,Monte Alegre,15002
150475,Mojuí dos Campos,15002
150040,Alenquer,15002
150600,Prainha,15002
150565,Placas,15002
150285,Curuá,15002
150050,Almeirim,15003
150590,Porto de Moz,15003
150580,Portel,15004
150110,Bagre,15004
150310,Gurupá,15004
150450,Melgaço,15004
150770,São Sebastião da Boa Vista,15005
150030,Afuá,15005
150070,Anajás,15005
150280,Curralinho,15005
150180,Breves,15005
150250,Chaves,15006
150630,Salvaterra,15006
150570,Ponta de Pedras,15006
150640,Santa Cruz do Arari,15006
150490,Muaná,15006
150790,Soure,15006
150200,Cachoeira do Arari,15006
150635,Santa Bárbara do Pará,15007
150150,Benevides,15007
150130,Barcarena,15007
150140,Belém,15007
150080,Ananindeua,15007
150442,Marituba,15007
150650,Santa Isabel do Pará,15008
150700,Santo Antônio do Tauá,15008
150190,Bujaru,15008
150340,Inhangapi,15008
150240,Castanhal,15008
150820,Vigia,15009
150260,Colares,15009
150710,São Caetano de Odivelas,15009
150746,São João da Ponta,15009
150290,Curuçá,15009
150410,Magalhães Barata,15009
150796,Terra Alta,15009
150440,Marapanim,15009
150430,Maracanã,15009
150620,Salinópolis,15009
150747,São João de Pirabas,15009
150740,São Francisco do Pará,15010
150320,Igarapé-Açu,15010
150660,Santa Maria do Pará,15010
150803,Tracuateua,15010
150170,Bragança,15010
150090,Augusto Corrêa,15010
150611,Quatipuru,15010
150500,Nova Timboteua,15010
150220,Capanema,15010
150560,Peixe-Boi,15010
150160,Bonito,15010
150610,Primavera,15010
150690,Santarém Novo,15010
150400,Limoeiro do Ajuru,15011
150520,Oeiras do Pará,15011
150210,Cametá,15011
150460,Mocajuba,15011
150330,Igarapé-Miri,15011
150010,Abaetetuba,15011
150120,Baião,15011
150275,Concórdia do Pará,15012
150800,Tomé-Açu,15012
150020,Acará,15012
150795,Tailândia,15012
150470,Moju,15012
150720,São Domingos do Capim,15013
150350,Irituia,15013
150760,São Miguel do Guamá,15013
150830,Viseu,15013
150655,Santa Luzia do Pará,15013
150195,Cachoeira do Piriá,15013
150405,Mãe do Rio,15013
150095,Aurora do Pará,15013
150345,Ipixuna do Pará,15013
150540,Ourém,15013
150230,Capitão Poço,15013
150495,Nova Esperança do Piriá,15013
150307,Garrafão do Norte,15013
150375,Jacareacanga,15014
150619,Rurópolis,15014
150100,Aveiro,15014
150805,Trairão,15014
150360,Itaituba,15014
150503,Novo Progresso,15014
150548,Pacajá,15015
150172,Brasil Novo,15015
150815,Uruará,15015
150085,Anapu,15015
150780,Senador José Porfírio,15015
150060,Altamira,15015
150445,Medicilândia,15015
150835,Vitória do Xingu,15015
150497,Nova Ipixuna,15016
150370,Itupiranga,15016
150380,Jacundá,15016
150178,Breu Branco,15016
150810,Tucuruí,15016
150506,Novo Repartimento,15016
150550,Paragominas,15017
150293,Dom Eliseu,15017
150812,Ulianópolis,15017
150618,Rondon do Pará,15017
150013,Abel Figueiredo,15017
150157,Bom Jesus do Tocantins,15017
150309,Goianésia do Pará,15017
150276,Cumaru do Norte,15018
150125,Bannach,15018
150730,São Félix do Xingu,15018
150543,Ourilândia do Norte,15018
150808,Tucumã,15018
150277,Curionópolis,15019
150553,Parauapebas,15019
150215,Canaã dos Carajás,15019
150295,Eldorado do Carajás,15019
150034,Água Azul do Norte,15019
150420,Marabá,15020
150549,Palestina do Pará,15020
150175,Brejo Grande do Araguaia,15020
150715,São Domingos do Araguaia,15020
150750,São João do Araguaia,15020
150563,Piçarra,15021
150745,São Geraldo do Araguaia,15021
150555,Pau D'Arco,15021
150613,Redenção,15021
150775,Sapucaia,15021
150840,Xinguara,15021
150616,Rio Maria,15021
150304,Floresta do Araguaia,15022
150670,Santana do Araguaia,15022
150270,Conceição do Araguaia,15022
150658,Santa Maria das Barreiras,15022
160020,Calçoene,16001
160050,Oiapoque,16001
160055,Pracuúba,16002
160070,Tartarugalzinho,16002
160010,Amapá,16002
160025,Itaubal,16003
160060,Santana,16003
160030,Macapá,16003
160021,Cutias,16003
160015,Pedra Branca do Amapari,16003
160053,Porto Grande,16003
160023,Ferreira Gomes,16003
160005,Serra do Navio,16003
160040,Mazagão,16004
160027,Laranjal do Jari,16004
160080,Vitória do Jari,16004
170650,Darcinópolis,17001
170100,Ananás,17001
171855,Riachinho,17001
170105,Angico,17001
171245,Luzinópolis,17001
